user_id,algorithm,item_id,ranking,rating,pca1_score,author_id
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.362069293790163e+18,1.0,5.0,,15155074.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3681700816336445e+18,2.0,4.0,,34613288.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3599329809746575e+18,3.0,5.0,,19373710.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3693674670013153e+18,4.0,4.0,,34613288.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3694581714675917e+18,5.0,5.0,,1344951.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3685016832196936e+18,6.0,5.0,,34613288.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3338730341140644e+18,7.0,5.0,,19373710.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3678227557695734e+18,8.0,5.0,,19583545.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3674975616454574e+18,9.0,5.0,,19583545.0
81.0,SCSA-STATE_ART-SCSA_PLUS_V3,1.3685612007542702e+18,10.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.362069293790163e+18,1.0,5.0,,15155074.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.362069293790163e+18,2.0,5.0,,15155074.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3681700816336445e+18,3.0,4.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3681700816336445e+18,4.0,4.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3599329809746575e+18,5.0,5.0,,19373710.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3599329809746575e+18,6.0,5.0,,19373710.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3693674670013153e+18,7.0,4.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3693674670013153e+18,8.0,4.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3694581714675917e+18,9.0,5.0,,1344951.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3694581714675917e+18,10.0,5.0,,1344951.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3685016832196936e+18,1.0,5.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3685016832196936e+18,2.0,5.0,,34613288.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3338730341140644e+18,3.0,5.0,,19373710.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3338730341140644e+18,4.0,5.0,,19373710.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3678227557695734e+18,5.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3678227557695734e+18,6.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3674975616454574e+18,7.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3674975616454574e+18,8.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3685612007542702e+18,9.0,5.0,,19583545.0
81.0,SCSA-SCSA_PLUS-SCSA_PLUS_V3,1.3685612007542702e+18,10.0,5.0,,19583545.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.3595976955481539e+18,1.0,5.0,,15155074.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.3504832512914514e+18,2.0,5.0,,19373710.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.3664990736714547e+18,3.0,5.0,,452155423.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.368580185642111e+18,4.0,5.0,,34613288.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.3686494047024087e+18,5.0,5.0,,34613288.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.367462925250818e+18,6.0,5.0,,34613288.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.368909409775149e+18,7.0,5.0,,96951800.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.367113993815548e+18,8.0,5.0,,34613288.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.368932010971005e+18,9.0,5.0,,1638021792.0
81.0,SC-STATE_ART-SCSA_PLUS_V3,1.362776603047166e+18,10.0,5.0,,621583.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3595976955481539e+18,1.0,5.0,,15155074.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3595976955481539e+18,2.0,5.0,,15155074.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3504832512914514e+18,3.0,5.0,,19373710.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3504832512914514e+18,4.0,5.0,,19373710.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3664990736714547e+18,5.0,5.0,,452155423.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3664990736714547e+18,6.0,5.0,,452155423.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.368580185642111e+18,7.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.368580185642111e+18,8.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3686494047024087e+18,9.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.3686494047024087e+18,10.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.367462925250818e+18,1.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.367462925250818e+18,2.0,5.0,,34613288.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.368909409775149e+18,3.0,5.0,,96951800.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.368909409775149e+18,4.0,5.0,,96951800.0
81.0,SC-SCSA_PLUS-SCSA_PLUS_V3,1.367113993815548e+18,5.0,5.0,,34613288.0
