user_id,algorithm,news_id,ranking,rating,score
1,B1,1369343506939019269,1,5,0.0
3,B1,1369362392749121542,1,2,0.0
43,B1,1360638198573981696,1,2,0.0
46,B1,1369038985188831234,1,3,0.0
32,B1,1369320575945019399,1,3,0.0
54,B1,1368976123896336389,1,5,0.0
7,B1,1359820217090768896,1,4,0.0
44,B1,1326208392923410432,1,5,0.0
9,B1,1292597118763319296,1,5,0.0
74,B1,1368923387532369922,1,3,0.0
57,B1,1369038985188831234,1,4,0.0
76,B1,1338944728969035776,1,4,0.0
78,B1,1367339191961489408,1,3,0.0
8,B1,1368703131652005888,1,5,0.0
33,B1,1369343506939019269,1,4,0.0
55,B1,956689717608595456,1,5,0.0
51,B1,1326208392923410432,1,5,0.0
53,B1,1367323565008154630,1,1,0.0
11,B1,1360638198573981696,1,1,0.0
73,B1,1363564146948665347,1,3,0.0
11,B1,1269640838205902849,1,3,0.0
27,B1,1329983375621435392,1,1,0.0
26,B1,1322229311718494210,1,2,0.0
11,B1,1366709249137643523,1,5,0.0
42,B1,1369362392749121542,1,1,0.0
45,B1,1338619251050115072,1,2,0.0
28,B1,1323671285285703683,1,2,0.0
72,B1,1369343506939019269,1,2,0.0
31,B1,1360224092427812866,1,4,0.0
10,B1,1368317364287180801,1,5,0.0
30,B1,1292597118763319296,1,3,0.0
29,B1,1358793588382052358,1,4,0.0
36,B1,1292597118763319296,1,5,0.0
23,B1,1321088619814109184,1,5,0.0
13,B1,1285952748484083712,1,1,0.0
24,B1,1359900546635870215,1,5,0.0
15,B1,1365372438578667526,1,2,0.0
16,B1,1367629682439454722,1,1,0.0
70,B1,1369343506939019269,1,5,0.0
61,B1,1358793588382052358,1,2,0.0
17,B1,1354993740562137089,1,1,0.0
18,B1,1363561378552958976,1,2,0.0
20,B1,1367491019277799427,1,1,0.0
66,B1,958350559177736194,1,4,0.0
68,B1,1327659608903733249,1,5,0.0
68,B1,1292597118763319296,1,5,0.0
21,B1,1326208392923410432,1,5,0.0
50,B1,1369343506939019269,1,5,0.0
71,B1,1326208392923410432,1,4,0.0
36,B1,1326208392923410432,1,5,0.0
12,B1,1365155419564351490,1,5,0.0
25,B1,1369587331691208706,1,5,0.0
40,B1,1337411829853802496,1,5,0.0
22,B1,1368614821147598851,1,5,0.0
39,B1,425668533293289472,1,3,0.0
38,B1,1368923387532369922,1,5,0.0
47,B1,1367557867260289032,1,5,0.0
34,B1,1369617111014924289,1,3,0.0
35,B1,1340976808989241344,1,2,0.0
41,B1,1326208392923410432,1,3,0.0
60,B1,1326208392923410432,1,5,0.0
41,B1,1346507839909445632,1,3,0.0
58,B1,1367128088832745476,1,5,0.0
62,B1,1312476369830338561,1,4,0.0
49,B1,1357749874645749765,1,5,0.0
19,B1,1369038985188831234,1,5,0.0
6,B1,1339526482142654466,1,4,0.0
5,B1,1369343506939019269,1,3,0.0
81,B1,1369403796443570180,1,5,0.0
79,B1,1354523590742446080,1,3,0.0
2,B1,1363564146948665347,1,5,0.0
4,B1,1369343506939019269,1,5,0.0
37,B1,1368703131652005888,1,4,0.0
63,B1,1369233187860328448,1,3,0.0
77,B1,1369038985188831234,1,2,0.0
48,B1,1369559064485715968,1,5,0.0
63,B1,1369490617592467456,1,1,0.0
26,B1,1363548342832218116,2,2,0.0
27,B1,1370132866093420544,2,3,0.0
28,B1,1363548342832218116,2,3,0.0
54,B1,1369362392749121542,2,5,0.0
32,B1,1364237278516830212,2,3,0.0
11,B1,1363548342832218116,2,2,0.0
11,B1,1327659608903733249,2,5,0.0
11,B1,1367946423736537089,2,1,0.0
51,B1,1369362392749121542,2,1,0.0
53,B1,1367244848978227201,2,1,0.0
73,B1,1369498799673065473,2,2,0.0
10,B1,1368157353695121412,2,5,0.0
31,B1,1307034079381065732,2,4,0.0
29,B1,1369362392749121542,2,5,0.0
30,B1,1369037334885265408,2,3,0.0
45,B1,1365659227256098816,2,3,0.0
42,B1,1369148238138208257,2,1,0.0
72,B1,1329459194601193472,2,5,0.0
35,B1,1367617268734164992,2,1,0.0
22,B1,1369043306487767040,2,5,0.0
40,B1,1329846979401191424,2,1,0.0
38,B1,1369498799673065473,2,4,0.0
39,B1,1359863795586396168,2,4,0.0
36,B1,1357735941637603331,2,5,0.0
36,B1,1350201158426648581,2,5,0.0
25,B1,1329983375621435392,2,5,0.0
12,B1,1361396964227772419,2,5,0.0
47,B1,1368577180557406208,2,5,0.0
60,B1,1369362392749121542,2,5,0.0
58,B1,1368614821147598851,2,5,0.0
41,B1,1356659266732650498,2,2,0.0
71,B1,1343240225129168898,2,4,0.0
41,B1,1340930237819924480,2,2,0.0
34,B1,1368856158010810369,2,3,0.0
24,B1,1292597118763319296,2,3,0.0
63,B1,1363564146948665347,2,5,0.0
63,B1,1352325551621595136,2,1,0.0
44,B1,1359863795586396168,2,3,0.0
7,B1,1364974104491798530,2,4,0.0
3,B1,1369030162298400778,2,2,0.0
1,B1,1151160990995746816,2,5,0.0
46,B1,1368923387532369922,2,3,0.0
43,B1,1367946423736537089,2,2,0.0
8,B1,1363548342832218116,2,5,0.0
78,B1,1367307559640571904,2,1,0.0
55,B1,1367479945686093825,2,5,0.0
33,B1,1368856158010810369,2,4,0.0
74,B1,1369038985188831234,2,3,0.0
9,B1,1362841895030968326,2,1,0.0
76,B1,1360638198573981696,2,3,0.0
57,B1,1368923387532369922,2,4,0.0
20,B1,1368788336333176833,2,1,0.0
66,B1,1355113743504584706,2,3,0.0
17,B1,1358414579328561153,2,5,0.0
18,B1,1338474408743215106,2,2,0.0
21,B1,1356659266732650498,2,2,0.0
50,B1,1326208392923410432,2,3,0.0
68,B1,1364598637163126785,2,5,0.0
68,B1,1349392742212726785,2,5,0.0
13,B1,1312476369830338561,2,4,0.0
61,B1,1326208392923410432,2,4,0.0
23,B1,1350173131823083520,2,5,0.0
70,B1,1368856158010810369,2,5,0.0
15,B1,1361396964227772419,2,2,0.0
16,B1,1346230432036233218,2,1,0.0
62,B1,1354081977062850561,2,4,0.0
48,B1,1344756801242357768,2,5,0.0
77,B1,1368923387532369922,2,5,0.0
4,B1,1369959855692337152,2,1,0.0
49,B1,1366842371724476422,2,1,0.0
19,B1,1368923387532369922,2,5,0.0
37,B1,1357452896976179201,2,1,0.0
79,B1,1362841895030968326,2,4,0.0
5,B1,1368856158010810369,2,5,0.0
6,B1,1326208392923410432,2,4,0.0
2,B1,1369498799673065473,2,4,0.0
81,B1,1368299640421052423,2,5,0.0
2,B1,1367766039254163458,3,5,0.0
1,B1,1343240225129168898,3,5,0.0
78,B1,1368204280629444611,3,1,0.0
79,B1,1324424895749652481,3,3,0.0
5,B1,1369590734672760836,3,5,0.0
81,B1,1368844528170500098,3,5,0.0
76,B1,1367946423736537089,3,4,0.0
77,B1,1352325551621595136,3,4,0.0
48,B1,1369453000570310660,3,5,0.0
18,B1,1298591876963078146,3,2,0.0
20,B1,1363915655720939521,3,5,0.0
62,B1,1366478355558780939,3,4,0.0
49,B1,1344756801242357768,3,1,0.0
37,B1,1298591876963078146,3,1,0.0
3,B1,1363896507242598402,3,4,0.0
70,B1,1369590734672760836,3,5,0.0
36,B1,1367610810789326850,3,5,0.0
36,B1,1363548342832218116,3,5,0.0
15,B1,1321919226341306368,3,2,0.0
66,B1,1361587149062082561,3,1,0.0
24,B1,1312476369830338561,3,5,0.0
61,B1,1356659266732650498,3,4,0.0
13,B1,1354081977062850561,3,3,0.0
63,B1,1369343506939019269,3,1,0.0
68,B1,1292597118763319296,3,5,0.0
68,B1,1369299518739595270,3,2,0.0
21,B1,1369030162298400778,3,1,0.0
63,B1,1369498799673065473,3,4,0.0
50,B1,1369621841204088832,3,3,0.0
16,B1,1367491019277799427,3,5,0.0
17,B1,1316030943174422528,3,5,0.0
19,B1,1329983375621435392,3,4,0.0
26,B1,1337774207971684352,3,4,0.0
11,B1,1292597118763319296,3,5,0.0
11,B1,1368703131652005888,3,2,0.0
11,B1,1363548342832218116,3,5,0.0
73,B1,968884303131234305,3,4,0.0
53,B1,1368652673935933450,3,1,0.0
55,B1,1367225773166190592,3,5,0.0
72,B1,1364604015103778820,3,4,0.0
28,B1,1334641065870159874,3,3,0.0
41,B1,1367323565008154630,3,1,0.0
30,B1,1366239727402196996,3,5,0.0
31,B1,1356766464162762754,3,3,0.0
10,B1,1369007428696743936,3,5,0.0
42,B1,1368116399097344003,3,5,0.0
33,B1,1369590734672760836,3,4,0.0
51,B1,1293138169832103936,3,2,0.0
41,B1,1363671397575266308,3,1,0.0
34,B1,1369590734672760836,3,4,0.0
46,B1,1369482917248970754,3,3,0.0
71,B1,1151160990995746816,3,5,0.0
58,B1,1369339704588570624,3,5,0.0
27,B1,1369343506939019269,3,4,0.0
60,B1,1367262209160736770,3,5,0.0
47,B1,1360638198573981696,3,2,0.0
38,B1,1368619226865471493,3,5,0.0
12,B1,1272637078401097731,3,5,0.0
35,B1,1368776591388647424,3,1,0.0
25,B1,1352325551621595136,3,3,0.0
40,B1,1351182747721748487,3,1,0.0
39,B1,1369362392749121542,3,4,0.0
22,B1,1367120318012280838,3,5,0.0
23,B1,1363548342832218116,3,5,0.0
8,B1,1360637255132434433,3,4,0.0
7,B1,969126955193962496,3,3,0.0
32,B1,1364974104491798530,3,3,0.0
54,B1,1326208392923410432,3,5,0.0
45,B1,1361708535294255106,3,3,0.0
6,B1,1356659266732650498,3,3,0.0
43,B1,1363548342832218116,3,2,0.0
44,B1,1369343506939019269,3,3,0.0
9,B1,1322221808913928193,3,2,0.0
74,B1,1369475640076996610,3,1,0.0
57,B1,762025473794867200,3,3,0.0
4,B1,1352325551621595136,3,2,0.0
29,B1,1369030162298400778,3,5,0.0
61,B1,1369148165471969284,4,3,0.0
70,B1,1368835740529000449,4,5,0.0
24,B1,1355530037152284675,4,5,0.0
81,B1,1366505349386240005,4,5,0.0
5,B1,1369242094217404419,4,5,0.0
77,B1,1354908861572935681,4,5,0.0
13,B1,1362949278365143050,4,1,0.0
36,B1,1151160990995746816,4,5,0.0
36,B1,1322229311718494210,4,4,0.0
66,B1,1316030943174422528,4,2,0.0
15,B1,1272637078401097731,4,2,0.0
19,B1,1354908861572935681,4,4,0.0
68,B1,1366709249137643523,4,5,0.0
16,B1,1368144516558041088,4,1,0.0
17,B1,1367507656269791241,4,5,0.0
21,B1,1367323565008154630,4,1,0.0
68,B1,1323278697466630145,4,5,0.0
50,B1,1369434342053806090,4,3,0.0
78,B1,1367318893191196674,4,1,0.0
27,B1,1354908861572935681,4,4,0.0
58,B1,1369015063705612288,4,5,0.0
11,B1,1366208806535892995,4,5,0.0
60,B1,1356659266732650498,4,5,0.0
11,B1,1364598637163126785,4,5,0.0
34,B1,1368835740529000449,4,4,0.0
47,B1,1368116641360384005,4,5,0.0
46,B1,1369343506939019269,4,3,0.0
71,B1,1356659266732650498,4,5,0.0
40,B1,1331202835334225920,4,1,0.0
23,B1,1261222316803063810,4,4,0.0
22,B1,1361812978425753600,4,4,0.0
12,B1,1321919226341306368,4,5,0.0
38,B1,1369214396489170946,4,5,0.0
25,B1,1369343506939019269,4,5,0.0
35,B1,1352326523026632706,4,1,0.0
39,B1,1356685006916079616,4,2,0.0
53,B1,1369040473008996353,4,3,0.0
72,B1,1364248308781248517,4,5,0.0
76,B1,1366222136591872000,4,3,0.0
1,B1,1312476369830338561,4,4,0.0
2,B1,1369453291936088064,4,4,0.0
79,B1,1292597118763319296,4,5,0.0
49,B1,1320101239363809280,4,1,0.0
37,B1,1338474408743215106,4,1,0.0
48,B1,1253046974389067776,4,1,0.0
3,B1,1367883861271613441,4,5,0.0
18,B1,1189330936300756992,4,5,0.0
62,B1,1362099968824254464,4,4,0.0
20,B1,1368096530268323842,4,5,0.0
63,B1,1369343506939019269,4,2,0.0
63,B1,1354908861572935681,4,2,0.0
30,B1,1360680119854104582,4,5,0.0
31,B1,1362196930252726277,4,3,0.0
41,B1,1352028901229395970,4,1,0.0
41,B1,1365020984802217996,4,1,0.0
33,B1,1369598009084887043,4,3,0.0
51,B1,1356659266732650498,4,5,0.0
10,B1,1368241591299760129,4,5,0.0
42,B1,1326177511684919300,4,2,0.0
55,B1,1368607626494308354,4,5,0.0
73,B1,1369047712184889353,4,5,0.0
26,B1,968452175142649858,4,4,0.0
11,B1,1338944728969035776,4,1,0.0
28,B1,1343640147775152131,4,3,0.0
74,B1,1369598009084887043,4,5,0.0
29,B1,1367323565008154630,4,4,0.0
9,B1,1363548342832218116,4,5,0.0
32,B1,1365618942501285888,4,2,0.0
4,B1,1369598009084887043,4,5,0.0
8,B1,1359964129532862464,4,4,0.0
7,B1,1367244704526393349,4,2,0.0
57,B1,1291098932987269128,4,3,0.0
6,B1,1357425371721965589,4,4,0.0
44,B1,425668533293289472,4,3,0.0
54,B1,1356659266732650498,4,5,0.0
43,B1,1367629682439454722,4,2,0.0
45,B1,1184016623394590721,4,4,0.0
79,B1,1361735737411067909,5,4,0.0
2,B1,1369600439239458820,5,3,0.0
44,B1,1356685006916079616,5,2,0.0
1,B1,1369271796499947520,5,5,0.0
32,B1,969126955193962496,5,3,0.0
54,B1,1273919207038693376,5,5,0.0
78,B1,1369407651914932229,5,1,0.0
4,B1,1368835740529000449,5,5,0.0
55,B1,1368715397415964674,5,3,0.0
28,B1,1355168831413645316,5,5,0.0
51,B1,1344946472618344448,5,5,0.0
53,B1,1369025685893738496,5,1,0.0
29,B1,1366963364975452162,5,3,0.0
57,B1,1323309743218282496,5,3,0.0
30,B1,1367120318012280838,5,4,0.0
31,B1,1362196257624625152,5,1,0.0
25,B1,1354908861572935681,5,5,0.0
61,B1,1242146375950675969,5,3,0.0
22,B1,1369015063705612288,5,4,0.0
60,B1,1342394653887369216,5,5,0.0
50,B1,1356659266732650498,5,5,0.0
49,B1,1253046974389067776,5,5,0.0
21,B1,1367556352445321216,5,5,0.0
23,B1,1354864255749804039,5,5,0.0
58,B1,1300100975793901569,5,5,0.0
24,B1,1362099968824254464,5,5,0.0
34,B1,1369552733536219138,5,3,0.0
35,B1,1273723492186443782,5,3,0.0
27,B1,1368856158010810369,5,5,0.0
26,B1,1364571918876073985,5,3,0.0
33,B1,1368835740529000449,5,4,0.0
36,B1,1343240225129168898,5,5,0.0
39,B1,1287526789707776000,5,2,0.0
38,B1,1369038985188831234,5,5,0.0
71,B1,1312476369830338561,5,4,0.0
12,B1,1364415183607586825,5,2,0.0
47,B1,1367500677002452992,5,5,0.0
46,B1,1368856158010810369,5,5,0.0
70,B1,1352326523026632706,5,5,0.0
40,B1,1355908706026758144,5,5,0.0
72,B1,1259963743716298754,5,3,0.0
10,B1,1368173264602869761,5,5,0.0
42,B1,1368453072666521600,5,5,0.0
73,B1,1368988690211627016,5,3,0.0
11,B1,1354547483083329538,5,2,0.0
11,B1,1345405481628684289,5,1,0.0
11,B1,1327687747117740035,5,5,0.0
15,B1,1364415183607586825,5,3,0.0
37,B1,1189330936300756992,5,2,0.0
17,B1,1367474157626290181,5,5,0.0
66,B1,1354775320658898944,5,2,0.0
