user_id,news_id,round_id,position,algorithm,rating,session_id
1,1369343506939019269,1,1,B1,5,4
1,1151160990995746816,1,2,B1,5,4
1,1343240225129168898,1,3,B1,5,4
1,1312476369830338561,1,4,B1,4,4
1,1369271796499947520,1,5,B1,5,4
1,1281615412459782145,1,6,B1,3,4
1,1324784149241147394,1,7,B1,3,4
1,1338474408743215106,1,8,B1,3,4
1,1298591876963078146,1,9,B1,4,4
1,1189330936300756992,1,10,B1,5,4
1,1369281593693646851,1,1,CS,4,3
1,1369388544003895298,1,2,CS,5,3
1,1369253885932617735,1,3,CS,3,3
1,1369010885075812352,1,4,CS,4,3
1,1369523963974549504,1,5,CS,5,3
1,1369483207935225856,1,6,CS,3,3
1,1369439516679942144,1,7,CS,5,3
1,1370144518100684802,1,8,CS,3,3
1,1368604102989541376,1,9,CS,4,3
1,1369460811760988160,1,10,CS,5,3
1,1369325020258983936,1,1,SC,5,1
1,1365315820080009221,1,2,SC,4,1
1,1344689933978656771,1,3,SC,5,1
1,1369375444793954323,1,4,SC,5,1
1,1317842770816602114,1,5,SC,3,1
1,1336964656792035329,1,6,SC,2,1
1,1369441796925886465,1,7,SC,3,1
1,1336810117057179649,1,8,SC,3,1
1,1369400194513723396,1,9,SC,4,1
1,1365327872643260420,1,10,SC,1,1
1,1364607745270423556,1,1,SCSA,5,2
1,1337077938076979205,1,2,SCSA,3,2
1,1354118501653483523,1,3,SCSA,1,2
1,1369383214062665731,1,4,SCSA,2,2
1,1336793663792406530,1,5,SCSA,2,2
1,1369386818169372680,1,6,SCSA,5,2
1,1339525827118194689,1,7,SCSA,4,2
1,1369372321736232963,1,8,SCSA,1,2
1,1367882927384768524,1,9,SCSA,5,2
1,1363551492486008834,1,10,SCSA,1,2
2,1363564146948665347,1,1,B1,5,8
2,1369498799673065473,1,2,B1,4,8
2,1367766039254163458,1,3,B1,5,8
2,1369453291936088064,1,4,B1,4,8
2,1369600439239458820,1,5,B1,3,8
2,1368785659066941440,1,6,B1,4,8
2,1369579853612281860,1,7,B1,4,8
2,1369587331691208706,1,8,B1,4,8
2,1369601403686182915,1,9,B1,4,8
